-philia	['-philie']
rather	['ziemlich', 'lieber', 'im Gegenteil', 'eher']
priesthood	['Priestertum']
monosemy	['Eindeutigkeit', 'Monosemie']
wireframe	['Drahtmodell']
internode	['Internodium']
kissproof	['kussecht']
hectolitre	['Hektoliter']
contraption	['Ding', 'Objekt', 'Vorrichtung', 'Gerät', 'Machwerk', 'Apparat', 'Erfindung']
décolletage	['Dekolleté']
Görlitz	['Görlitz']
business plan	['Geschäftsplan']
mathematical economics	['Wirtschaftsmathematik']
draw	['', 'Remis', 'zuziehen', 'Ziehung', 'ableiten', 'zeichnen', 'auslosen', 'herausziehen', 'Hasch', 'verbrauchen', 'Unentschieden', 'ziehen', 'schöpfen', 'schließen', 'anziehen', 'unentschieden spielen', 'aufdecken', 'zurückgreifen']
blood diamond	['Blutdiamant']
consultant	['Berater', 'Beraterin']
wholeness	['Ganzheitlichkeit', 'Vollständigkeit', 'Ganzheit']
dog meat	['Hundefleisch', 'Hundchenfleisch']
soul patch	['Soul Patch']
defeasible	['annullierbar']
minus sign	['Minuszeichen']
Strait of Gibraltar	['Straße von Gibraltar', 'Meerenge von Gibraltar']
nobility	['Adel']
given	['vorliegend']
relation	['Verwandtschaft', 'Familienangehöriger', 'Verwandte', 'Relation', 'Beziehung', 'Angehöriger', 'Familienmitglied', 'Angehörige', 'Verwandter', 'Familienangehörige']
tele-	['fern-']
demesne	['Hausmacht', 'Grundbesitz']
tamarind	['Tamarinde']
accent	['', 'Akzent', 'Betonung']
window cleaner	['Fensterputzerin', 'Fensterputzer']
Wernicke's area	['Wernicke-Region', 'Wernicke-Areal', 'Wernicke-Zentrum']
gonad	['Eier', 'Keimdrüse', 'Gonade', 'Geschlechtsdrüse']
discredit	['Misskredit', 'in Misskredit bringen', 'diskreditieren']
rudder	['Ruder', 'Steuerruder', 'Steuer']
friends	['Freunde', 'Freundinnen']
nadir	['Nadir']
Courish	['']
chanter	['Melodiepfeife']
weather	['überstehen', '', 'Wetter']
folding knife	['Klappmesser']
abstract noun	['Abstraktum', 'abstraktes Substantiv', 'Begriffswort']
easy peasy	['babyeierleicht']
defiant	['trotzig', 'keck', 'frech']
sympathetic	['mitfühlend']
Leyden jar	['Flaschenkondensator', 'Kleistsche Flasche', 'Kondensationsflasche', 'Leidener Flasche']
Hellenistic	['hellenistisch']
fraternize	['fraternisieren', 'sich verbrüdern']
epicycle	['Epizykel']
harmonize	['harmonieren', 'harmonisieren']
commerce	['Handel', 'Kommerz']
semifinalist	['Halbfinalistin', 'Halbfinalist']
Start Menu	['Startmenü']
core hours	['Kernarbeitszeit', 'Kernzeit']
action plan	['Aktionsplan']
catalytic	['katalytisch']
both	['sowohl ... als auch', 'beide']
ganache	['Ganasche']
paper airplane	['']
bulletproof vest	['durchschusshemmende Weste', 'Schutzweste', 'beschusshemmende Weste']
buried	['vergraben', 'beerdigt']
Serb	['Serbin', 'Serbe', 'serbisch']
panchronic	['panchronisch']
obstacle	['Hindernis']
social security number	['Sozialversicherungsnummer']
recoilless rifle	['rückstoßfreies Geschütz']
Question Time	['Fragestunde']
baculum	['Penisknochen']
zany	['verrückt', 'durchgeknallt']
naiad	['Najade']
solar calendar	['Sonnenkalender']
Tuvaluan	['Tuvaluerin', 'Tuvaluer', 'tuvaluisch']
Aesop	['Äsop']
sincerity	['Aufrichtigkeit', 'Ehrlichkeit']
homoglyph	['Homoglyph']
clearance	['Erlaubnis', 'Ausverkauf', 'Freigabe']
majuscule	['']
reprobate	['verdammen', 'verwerflich', 'Sünder', 'verweigern', 'verwerfen', 'verlassen', 'verkommen', 'Halunke', 'für gottlos erklären', 'zurückgewiesen', 'aussortiert', 'Schurke', 'verworfen', 'Gauner', 'verwehren', 'ablehnen', 'abgelehnt', 'ruchlos']
dust bunny	['Wollmaus']
sweatsuit	['Sportanzug']
wastepaper	['Altpapier', 'Makulatur']
smithsonite	['Smithsonit']
identity matrix	['Einheitsmatrix']
leonine	['Löwen-']
Penrose staircase	['']
unforeseeable	['unvorhersehbar']
country	['Land ; Staat ; Vaterland', 'Land ; Landschaft ; Region', 'Land-', 'ländlich', 'Country', 'Land']
autodidact	['Autodidakt']
anaconda	['Anakonda']
screwdriver	['Schraubenzieher', 'Schraubendreher']
patronym	['Patronym', 'Patronymikum']
linguistic	['linguistisch', 'sprachwissenschaftlich', 'sprachlich']
biophilia	['Biophilie']
boob tube	['Glotze']
glottalize	['glottalisieren']
murabba	['Warenje']
Manaus	['Manaus']
disturbing	['störend']
thigh	['Oberschenkel']
rebus	['Bilderrätsel', 'Rebus']
Liberec	['Reichenberg', 'Liberec']
Jupiter	['Jupiter']
gudgeon	['Gründling']
lapse	['Entgleisung']
curfew	['Sperrstunde', 'Polizeistunde', 'Ausgangssperre']
rebound tenderness	['Loslaßschmerz']
feldspar	['Feldspat']
benign tumor	['gutartiger Tumor']
reunification	['Wiedervereinigung']
how	['wie']
wherefore	['wofür', 'weswegen', 'warum']
finesse	['Finesse']
in any way, shape, or form	['in jeglicher Form']
habitat	['Habitat']
nightlife	['Nachtleben']
carfree	['autofrei']
not in the least	['nicht im Geringsten']
sutra	['Sutra']
stertorous	['röchelnd']
hermitic	['']
fourfold	['vervierfachen', 'vierfachen']
get in the way	['dazwischenkommen', 'behindern', 'stören', 'hindern']
regulation	['Regeln', 'Verordnung', 'Regelung', 'Regulativ', 'Bestimmung']
implicate	['', 'verwickeln']
unjustice	['']
fellatio	['Fellatio']
sheet music	['Musiknoten', 'Partitur', 'Noten']
epiphenomenalism	['Epiphänomenalismus']
scholasticism	['Scholastik', 'Schulwissenschaft']
banknote	['Banknote', 'Geldschein']
subchronic	['subchronisch']
hydrocortisone	['Hydrocortison', 'Hydrokortison']
smatter	['radebrechen']
insensate	['empfindungslos', 'unvernünftig', 'unsinnig']
fertilize	['', 'befruchten', 'düngen']
catachresis	['Katachrese']
discretization	['Diskretisierung']
Walter	['Walter', 'Walther']
compunction	['Reue', 'Gewissensbisse']
beet	['Bete', 'Rübe']
kaon	['Kaon']
percentage	['Prozentsatz', 'prozentualer Anteil']
allow	['erlauben', 'akzeptieren', 'mit einberechnen', 'zulassen']
mutable	['veränderbar', 'mutabel', 'veränderlich']
young	['Junge', 'Jugend', 'Brut', 'jugendlich', 'Nachwuchs', 'Abkömmling', 'Nachkomme', 'unerfahren', 'jung']
barrel	['', 'Barrel', 'Tonne', 'Fass', 'Lauf']
forgotten	['vergessen']
Hamburger	['Hamburger', 'Hamburgerin']
adolescent	['Jugendliche']
brown	['Braun', '', 'braun']
elative case	['Elativ']
peepshow	['Peepshow']
track and field	['Athletik', 'Leichtathletik']
photosphere	['Photosphäre']
K-pop	['K-Pop']
candy cane	['Zuckerstange']
juvenile offending	['']
Zürich	['Kanton Zürich', 'Zürich']
Sindhi	['Sindhi']
sunshade	['Sonnenblende', 'Sonnenschirm']
tractor	['Trecker', 'Traktor', 'Schlepper']
subpoena	['Auskunftsanordnung', 'Vorladung', 'zwangsvorladen', 'Zwangsvorladung']
waterbody	['']
lyric poetry	['Lyrik']
Agnes	['Agnes']
technically	['technisch', 'fachlich', 'eigentlich']
Cluj-Napoca	['Klausenburg', 'Cluj-Napoca']
bathing	['Baden']
interest	['Interesse', 'Zins', 'interessieren']
Franche-Comté	['Freigrafschaft Burgund', 'Franche-Comté']
double pica	['Secunda', 'Text', 'Doppelcicero']
acrobatic	['artistisch', 'akrobatisch']
kohlrabi	['Kohlrabi']
stalactite	['Stalaktit']
pineapple guava	['']
incineration	['Verbrennung']
spit it out	"[""spuck's aus""]"
gauge theory	['Eichtheorie']
creationistic	['kreationistisch']
curatorship	['Kuratorium']
disparaging	['abwertend', 'verunglimpfend', 'geringschätzig', 'herabsetzend', 'abfällig', 'abschätzig']
solvent	['flüssig', 'solvent', 'Lösemittel', 'zahlungsfähig', 'Lösungsmittel', 'liquid']
Bolivarian Republic of Venezuela	['Bolivarische Republik Venezuela']
switchboard	['Klappenschrank', 'Schaltschrank']
bewitching	['bezaubernd']
miniature poodle	['Kleinpudel', 'Zwergpudel']
neighborhood	['Stadtteil', 'Viertel', 'im Bereich von', 'Umgebung', 'Quartier', 'Kiez', 'Nachbarschaft', 'ungefähr']
under one's hat	['']
soutane	['Sutane', 'Soutane']
Arminianism	['Arminianismus']
client service	['']
parsonage	['Pfarrhaus']
liter	['']
ringneck dove	['Lachtaube']
bailiwick	['vogtei']
pterodactyl	['Pterodaktylus', 'Pterodaktyl']
Sadducee	['Sadduzäer', 'Sadduzäerin']
huchen	['Donaulachs', 'Huchen']
fundament	['']
aphorism	['Aphorismus']
galvanize	['aufrütteln', 'galvanisieren', 'verzinken', 'aufschrecken', 'wachrütteln']
unvoluntary	['']
ergative	['']
roller skating	['rollschuhlaufen']
mechanization	['Mechanisierung']
market share	['Marktanteil']
quickly	['schnell', 'geschwind', 'rasch']
venturi	['']
high-level language	['hōhere Programmiersprache']
corncob	['Türkenkolben ;  Türkenkolben ; Miljekolben', 'Hleza', 'Maiskolben ;  Kukuruzkolben']
stencil	['Schablone']
discernment	['Einsicht', 'Urteilsvermögen', 'Diskriminierung']
kingship	['Königschaft']
asymptotically	['asymptotisch']
birdwatching	['Vogelbeobachtung']
mote	['Stäubchen']
appraise	['taxieren', 'einschätzen']
superfluous	['überflüssig']
chrism	['Chrisam']
brewable	['braubar']
black scabbardfish	['Schwartzer Degenfisch']
garlic mustard	['Knoblauchrauke', 'Knoblauchhederich']
common reed	['Schilf']
ballistics	['Ballistik']
bloodwork	['']
babble	['babbeln', 'Murmeln', 'plätschern', 'brabbeln', 'schwätzen', 'Brabbeln', 'murmeln', 'Geplapper', 'gurgeln', 'plappern']
dynastic	['dynastisch']
dicotyledon	['Zweikeimblättrigen']
pleurisy	['Brustfellentzündung']
stock character	['Typus']
vie	['wetteifern']
Mazanderani	['Masanderaner', 'Masanderanisch']
beechwood	['Buchenholz', 'Buchenwald']
Virginia	['Virginia', 'Virginien']
Scottish Gaelic	['Schottisch-Gälisch']
call center	['Callcenter']
assail	['angreifen']
penalty area	['Strafraum']
areology	['Areologie']
meitnerium	['Meitnerium']
velodrome	['Velodrom', 'Radrennbahn']
scholar	['Student', 'Gelehrte']
Perth	['Perth']
snuggle	['drücken', 'kuscheln']
poplar	['Pappel']
irrigate	['bewässern']
octateuch	['Oktateuch']
bookend	['Buchstütze']
nitpicker	['Griffelspitzer', 'Erbsenzähler', 'Korinthenkackerin', 'Erbsenzählerin', 'Griffelspitzerin', 'Korinthenkacker']
gosling	['Grünschnabel', 'Gänseküken', 'Gänschen', 'junge Gans', 'Gänslein', 'Gössel']
bateleur	['Gaukler']
smooth	['reibungslos', 'problemlos', 'glätten', 'glatt']
abhorrence	['Ekel', 'Abscheu']
coffee	['kaffeefarben', 'kaffeebraun', 'Kaffebohne', 'Kaffee', 'Kaffeepflanze', 'Kaffeebraun', 'Kaffeefarbe', 'kaffeefarbig']
ail	['Krankheit', 'krank sein', 'kränklich sein', 'plagen', 'weh tun', 'Leiden', 'kränkeln', 'leiden']
reputation	['Klang', 'Ansehen', 'Ruf']
angry	['böse', 'verärgert', 'zornig']
butylene	['Butylen']
coppersmith	['Kupferschmied']
dumbarse	['Vollpfosten']
jocund	['heiter']
mule deer	['Maultierhirsch']
some time	['geraume Zeit']
awkwardly	['tapsig', 'unbeholfen', 'ungeschickt', 'umständlich']
duplication	['Duplikation']
feet of clay	['tönerne Füße']
ambition	['Ehrgeiz', 'Ambition']
novella	['Novelle']
card key	['']
thermoception	['Thermorezeption', 'Temperatursinn', 'Thermozeption']
may	['könnten', 'mögen', 'dürfen', 'Weißdornblüte']
whiting	['Wittling', 'Merlan']
television channel	['Kanal', 'Fernsehkanal']
telegenic	['telegen']
milieu	['Milieu']
etymologize	['etymologisieren']
hackneyed	['abgedroschen', 'banal', 'abgenutzt']
prismatic colors	['Spektralfarben', 'Regenbogenfarben']
Scorpio	['', 'Skorpion']
romance	['Romanze', 'Liebeserlebnis', 'romantische Liebe']
experimentation	['Experimentieren']
dad	['Papa', 'Vati', 'Papi']
kapo	['Kapo']
maidenhair fern	['']
gander	['Gänserich', 'Ganser', 'Ganterich', 'Ganter', 'Ganauser', 'Blick']
table tennis	['Pingpong', 'Tischtennis']
turbidity	['Trübheit']
clerical	['geistlich', 'priesterlich', 'klerikal']
snow-covered	['schneebedeckt']
co-father-in-law	['Mitschwiegervater', 'Gegenschwäher']
say	['sagen', '', 'verrichten', 'es heißt', 'sagen wir', 'man sagt']
inefficiency	['Ineffizienz']
porcini	['Steinpilz']
Gaza Strip	['Gazastreifen']
basal	['basal']
berate	['ausschimpfen', 'ausschelten', 'beschimpfen', 'schelten']
peloton	['Peloton']
process	['Verlauf', 'verarbeiten', 'Prozess']
lilliputian	['Liliputanerin', 'Liliputaner', 'liliputanisch']
transgender	['Trans-Person', 'transgender', 'trans*', 'trans', 'transgeschlechtlich']
thunder god	['Thor']
numbering	['Nummerierung']
observable	['beobachtbar']
gentile	['nichtjüdisch', 'Nichtjude', 'Gentile', 'Goj']
hummock	['Eishügel']
tick	['', 'abhaken', 'ticken', 'Zecke', 'ankreuzen', 'Zeck']
beastly	['garstig']
water plantain	['Froschlöffel']
via ferrata	['Klettersteig']
knitting	['Stricken']
slipshod	['schlampig', 'schludrig']
fishing cat	['Fischkatze']
molinology	['Molinologie']
legionnaire	['']
knoll	['Hügel']
he-wolf	['Rüde', 'Wolfsrüde']
artichoke	['Artischocke']
destroy	['vernichten', 'einschläfern', 'kaputtmachen', 'notschlachten', 'kaputt machen', 'löschen', 'zermalen', 'zerstören']
coal tit	['Tannenmeise']
forget	['abhaken', 'verlernen', 'vergessen', 'verlegen']
way of life	['Lebensweise', 'Lebensstil']
home cinema	['Heimkino']
mislead	['irreführen', '', 'in die Irre führen']
testator	['Erblasserin', 'Erblasser']
Capuchin	['Kapuziner']
cauterize	['kauterisieren']
Europa	['Europa']
opinionate	['eigensinnig sein', 'rechthaberisch sein']
gluon	['Gluon']
drainage system	['Flusssystem', 'Flussnetz']
foolishness	['Torheit', 'Dummheit']
chicken coop	['']
surface-to-air missile	['Flugabwehrrakete', 'Fliegerabwehrrakete', 'Boden-Luft-Rakete']
Darius	['Darius', 'Dareios']
bandicoot	['Nasenbeutler']
chernozem	['Tschernosem', 'Schwarzerde']
agouti	['Aguti']
fantastically	['phantastisch']
wrestler	['Ringer']
motorized	['motorisiert']
faqir	['']
uninhabited	['unbewohnt']
plutonic	['plutonisch']
double standard	['Doppelmoral']
polytonic	['polytonisch', 'vieltönig']
eel	['', 'Aal', 'Aalartige']
maul	['übel zurichten', 'rücksichtslos anfassen', 'misshandeln', 'Spalthammer']
endocrinologist	['Endokrinologe', 'Endokrinologin']
inflammable	['brennbar', 'entflammbar']
medical record	['']
shitter	['']
hinterland	['Hinterland']
Frances	['Franziska']
meager	['mager']
realist	['Realistin', 'Realist']
foreign body	['Fremdkörper']
litigious	['gerichtsstreitlich', 'streitbar', 'prozessfreudig', 'streitsüchtig']
soldier fly	['Waffenfliege']
at all	['gar', 'überhaupt']
eleven o'clock	['elf Uhr']
ballpark	['Stadion', 'ungefähr', 'Platz', 'abschätzen', 'Gegend', 'grob']
Theodosia	['']
night owl	['Nachtmensch', 'Nachtschwärmer', 'Nachteule']
ant-hill	['']
aba	['Großnilhecht']
surreptitiously	['heimlich']
crop	['Gerte', 'Saat', 'ausschneiden', 'Kehlsack', 'Kropf', 'Getreide']
relax	['lockern', 'locker werden', 'entspannen']
terracotta	['Terrakotta']
miscreant	['Missetäterin', 'Missetäter']
curdle	['gerinnen']
I think therefore I am	['ich denke', 'also bin ich']
fifty-second	['zweiundfünfzigste']
have seen better days	['bessere Tage gesehen haben']
pedosexual	['pädosexuell', 'Pädosexuelle', 'Pädosexueller']
Laotian	['', 'laotisch', 'Lao', 'Laotisch']
peripheral device	['Peripheriegerät']
estragon	['']
data mining	['Data Mining']
snowflake	['Märzenbecher', 'Schneeflocke', '']
grandma	['Oma', 'Omi']
sneaky	['duckmäuserig']
hetero-	['hetero-']
breed	['erzeugen', 'Sorte', 'sich paaren', 'hervorrufen', 'züchten', 'verursachen', 'brüten', 'aufziehen', 'Rasse']
trimaran	['Trimaran']
printing press	['Druckerpresse']
lay-by	['Rastplatz', 'Haltebucht']
signify	['bedeuten']
academician	['Student', 'Akademiker', 'Akademikerin', 'Studentin']
primacy	['Primas', 'Primat']
colloid	['Kolloid']
Ingvaeonic	['Ingwäonisch']
consequence	['Folge', 'Konsequenz']
vulgarity	['Vulgarität']
hydrophyte	['Wasserpflanze']
indecisive	['unschlüssig', 'unentschlossen']
dirndl	['Dirndl']
Abkhazia	['Abchasien']
in twain	['entzwei']
Flensburg	['Flensburg']
-ly	['-isch', '-ig', '; -erweise', '-lich', '-haft']
bottlenose dolphin	['großer Tümmler', 'Tümmler', 'Tursiops']
look before you leap	['erst wägen', 'dann wagen']
proboscis	['', 'Rüssel']
alliance	['Verbund', 'Zusammenschluss', 'Allianz', 'Verbündeten', 'Bund', 'Bündnis']
smart ass	['']
sop	['']
line of credit	['Kreditlinie']
plaid	['Schottenstoff']
sharashka	['Scharaschka']
how's it going	"[""wie geht's?"", 'wie geht es?']"
optic	['optisch']
sexless	['geschlechtslos']
herbal medicine	['']
machinelike	['maschinenmäßig']
aardwolf	['Erdwolf']
cordially	['herzlich']
Vé	['Vé']
flute	['Querflöte', 'Flöte']
creepily	['schauererregend']
clover	['Klee']
work in progress	['laufende Arbeiten', 'in Bearbeitung']
walk on eggshells	['sich auf Eierschalen bewegen']
boo	['buh', 'ausbuhen', 'buhen', 'Buhruf']
BMW	['BMW']
patronymic	['Patronym', 'Patronymikon', 'Patronymikum', 'Vatersname']
multiplayer	['Mehrspieler']
clitoral hood	['Klitorisvorhaut']
coin	['Münze', 'Geldstück', 'Chip', 'prägen']
wishy-washy	['Wischiwaschi-']
epigrammatic	['epigrammatisch']
lenite	['lenieren']
herpes zoster	['Gürtelrose', 'Herpes Zoster']
injurious	['beleidigend', 'schädlich']
cavalcade	['Kavalkade', 'Reiterzug', 'berittener Zug']
alacrity	['Eifer']
passion play	['Passionsspiel']
housekeeper	['Hausfrau', 'Haushälterin']
Olivier salad	['Oliviersalat']
disloyalty	['Illoyalität']
temporal	['diesseitig', 'vorübergehend', 'temporal', 'temporär', 'zeitlich', 'Schläfen', 'weltlich', 'Schläfen-', 'zeitweilig']
minority	['Minderheit']
slog	['verprügeln']
Hubert	['Hubert']
emirate	['Emirat']
T-bone steak	['Porterhouse-Steak', 'T-Bone-Steak']
outgunned	['waffentechnisch unterlegen']
inner	['inner']
skewed	['tendenziös', 'schief', 'verzogen', 'schräg', 'parteiisch', 'verdreht', 'abgeschrägt', 'voreingenommen', 'eingenommen', 'unausgewogen', 'gefärbt', 'verzerrt', 'befangen']
cardiologist	['Kardiologe', 'Kardiologin']
alcoholic	['Alkoholiker', 'Alkoholkranke', 'Alkoholikerin', 'alkoholisch', 'Alkoholkranker']
bocce	['Boccia']
loiter	['trödeln', 'herumgammeln', 'sich herumdrücken', 'rumlungern', 'herumlungern', 'herumtrödeln', 'rumhängen', 'gammeln', 'herumlümmeln', 'abhängen', 'herumhängen']
tidiness	['Ordnung']
hospital	['Krankenhaus', 'Spital']
prototype pattern	['Prototyp']
improve	['verbessern', 'sich verbessern']
muscleman	['']
granary	['Getreidespeicher', 'Kornhaus', 'Kornkammer']
watch	['beobachten', 'Uhr', 'aufpassen', 'sehen', 'überwachen', 'ansehen', 'zusehen', 'wachen', 'Armbanduhr', 'Wache']
Altai	['']
village	['Dorf']
circumcircle	['Umkreis']
festive	['festlich']
Jesus Christ	['Jesus Christus']
slideshow	['Tonbildschau', 'Diashow']
Jiantizi	['']
tolstovka	['']
crusty	['krustig', 'Krusten-', 'reizbar', 'mürrisch']
voice	['Aktionsform', 'Genus verbi /Genus Verbi', 'Verbalgenus', 'Gattung', 'Diathese', 'Stimme', 'Verbgenus']
seraglio	['Serail']
embryologic	['']
foothill	['Vorberg']
pure mathematics	['reine Mathematik']
difference	['unterscheiden', 'Andersartigkeit', 'Differenz', 'Meinungsverschiedenheit', 'Unterschied', 'Anderssein', 'differenzieren', 'Unterscheidung']
end product	['']
phial	['']
requisition	['requirieren']
condense	['verkleinern', 'kondensieren']
tombola	['Tombola']
Tokyoite	['Tokioterin', 'Tokioter']
visually impaired	['schwachsichtig']
grits	['Polenta', 'Maisgrieß']
